study,condition,qualification
study interventions are laboratory biomarker analysis, stage iv squamous cell carcinoma of the paranasal sinus and nasal cavity diagnosis and hypericum_perforatum st,0
study interventions are intoplicine, unspecified adult solid tumor protocol specific diagnosis and bilirubin no greater than doc mg dl sgot sgpt no greater than three times upper limit of normal no nonmalignant hepatic disease renal,0
"study interventions are lonaprisan (zk 230211, bay86-5044)", metastatic breast cancer diagnosis and one hundred zero mmthree,0
"study interventions are antibodies, monoclonal", recurrent squamous cell carcinoma of the lip and oral cavity diagnosis and measurable disease defined as greater_than one unidimensionally measurable lesion greater_than twenty mm by conventional techniques or greater_than one0 mm by ct scan,0
study interventions are dexamethasone 21-phosphate, refractory multiple myeloma diagnosis and bilirubin equal_than less_than doc mg dl,0
study interventions are laboratory biomarker analysis, stage iii prostate adenocarcinoma diagnosis and no distant metastases based on the following workup within sixty days prior to registration,0
study interventions are bevacizumab, solid tumors diagnosis and patients must have histologically confirmed malignancy that is metastatic or unresectable and for which standard curative or palliative measures do not exist or are no longer effective,0
study interventions are conventional surgery, adult brain tumor diagnosis and no other serious infection or medical illness,0
study interventions are methotrexate, lymphoma diagnosis and no isolated primary skin disease,0
study interventions are immunoglobulins, recurrent adult diffuse large cell lymphoma diagnosis and all patients must have performance status of zero one or two according to zubrod criteria,0
study interventions are therapeutic conventional surgery, stage iv melanoma diagnosis and no concurrent medications with narrow therapeutic indices that are metabolized by cytochrome pfour hundred and fifty cypfour hundred and fifty including warfarin sodium coumadin,0
study interventions are histone deacetylase inhibitors, angioimmunoblastic cell lymphoma diagnosis and ascites,0
study interventions are liposomal doxorubicin, liposarcoma diagnosis and stage ttwoa greater_than five cm and grade two or three and,0
study interventions are pyridoxal phosphate, cancer diagnosis and life expectancy longer than three months,0
study interventions are fludarabine phosphate, myelodysplastic myeloproliferative neoplasms diagnosis and bilirubin less_than doc times uln,0
study interventions are bicalutamide, prostate cancer diagnosis and pathologic ttwonzero with no clinical evidence of metastases gleason score less_than seven with positive margins,0
"study interventions are antibodies, monoclonal", stage iv skin melanoma diagnosis and disease that is measurable by physical examination only is not eligible,0
study interventions are ifosfamide, extragonadal germ cell tumor diagnosis and biopsy proven residual disease,0
study interventions are camptothecin, more than four weeks since prior radiation therapy to the site of any lesion that will be identified as target lesion to measure tumor response,0
study interventions are gemcitabine, lung cancer diagnosis and platelet count at least one hundred zero mm three,0
study interventions are exemestane, stage ii breast cancer diagnosis and serum creatinine equal_than less_than doc iuln,0
study interventions are lapatinib, stage iv breast cancer diagnosis and bone lesions women with bone lesions will be eligible as described above,0
study interventions are gemcitabine, stage iv grade three follicular lymphoma diagnosis and recovered from prior therapy,0
study interventions are histone deacetylase inhibitors, soft tissue sarcoma diagnosis and male or female patients aged greater_than eighteen years old,0
study interventions are bcg, non muscle invasive bladder cancer diagnosis and no psychiatric illness social situation that would limit compliance with study requirements,0
study interventions are 2-methoxyestradiol, unspecified adult solid tumor protocol specific diagnosis and platelet count at least one hundred zero mm three,0
study interventions are bortezomib, kidney cancer diagnosis and not specified,0
study interventions are cisplatin, ovarian neoplasms diagnosis and hepatic,0
study interventions are fluorouracil, pancreatic cancer diagnosis and eighteen and over,0
study interventions are 7-hydroxystaurosporine, stage ii pancreatic cancer diagnosis and no other active malignancy,0
study interventions are carboplatin," ovarian clear cell adenocarcinofibroma diagnosis and confirmation of acrin six thousand, six hundred and ninety-five eligibility after the baseline tzero perfusion computed tomography ct will be assessed by the acr imaging core lab",0
study interventions are fludarabine phosphate, recurrent marginal zone lymphoma diagnosis and hemoglobin at least doc dl,0
study interventions are fluorodeoxyglucose f18, stage iib prostate cancer diagnosis and must be able to take oral medication without crushing_dissolving or chewing tablets,0
